Source	Target	Type	Id	Label	timeset	Weight
Vertex 1	Vertex 2	Directed	14854			1
Vertex 1	Tweet	Directed	14855			1
obetayor	brfootball	Directed	14856			1
obetayor	RT @brfootball: BREAKING: West Brom have sacked head coach Tony Pulis with the club 17th in the Premier League https://t.co/GX8dyYoh39	Directed	14857			1
_j0nny	paddypower	Directed	14858			1
_j0nny	"RT @paddypower: West Brom fans didn't like the football he played. 

But my God, Tony Pulis looked a million dollars in a tracksuit and box…"	Directed	14859			1
dantye25	wba	Directed	14860			1
dantye25	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14861			2
dantye25	garylineker	Directed	14862			1
krisholoy	transferrelated	Directed	14864			1
krisholoy	RT @TransferRelated: BREAKING: Tony Pulis sacked by West Brom. https://t.co/bOJo1RGTNb	Directed	14865			1
jimshelley17	jimshelley17	Directed	14866			1
jimshelley17	"When you wanted Tony Pulis out and then hear Gary Megson is now in charge

#WBAFC https://t.co/fUGvuf8s08"	Directed	14867			1
jlbshaw	rorysmith	Directed	14868			1
jlbshaw	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14869			1
boss_zakaria	wba	Directed	14870			1
boss_zakaria	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	14871			1
lacazettelethal	rorysmith	Directed	14872			1
lacazettelethal	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14873			1
andrew1fisher	rorysmith	Directed	14874			1
andrew1fisher	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14875			1
paddy25934	rorysmith	Directed	14876			1
paddy25934	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14877			1
stevobornred	oddschanger	Directed	14878			1
stevobornred	@Oddschanger Please please please let it be Tony pulis	Directed	14879			1
ufukcepni	gztspor	Directed	14880			1
ufukcepni	RT @gztSpor: ⚡ İngiltere Premier Lig'de son 21 maçın sadece 2'sini kazanan West Bromwich Albion'da Tony Pulis'in görevine son verildi. http…	Directed	14881			1
vephala	bbcsport	Directed	14882			1
vephala	"RT @BBCSport: Tony Pulis has been sacked by West Brom. 

Latest 👉 https://t.co/km7djGph9C #wba https://t.co/KHyhUcV9BE"	Directed	14883			1
dodzyfpl	wba	Directed	14884			1
