Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,description,email,profile_image,friends_count,followers_count,real_name,location,modularity_class,weighted indegree,weighted outdegree,Weighted Degree
935280989131157505,"Can you imagine what the future life of @meghanmarkle will be like? 

Her future grandmother-in-law actually killed her future mother-in-law. She needs to watch out. 😱 https://t.co/TvV5rohLLd",<[2017-11-27T22:55:39.799Z]>,Tweet,,,,,,,Mon Nov 27 22:55:39 GMT 2017,en,,,,,,,,28,1,2,3
@camilasweetlipz,@camilasweetlipz,<[2017-11-27T22:55:39.799Z]>,User,,,,,,,Mon Oct 30 20:30:01 GMT 2017,en,"Camila, trans woman, Native. 🌸 Ex liberal, suspended 5X for supporting America and President Trump. #MAGA 🇺🇸 I'm here to learn, share, laugh, rant. No DMs.",,http://pbs.twimg.com/profile_images/934591204074950656/fqhnVb8Q_bigger.jpg,513,131,Camila 🎆,DMV ° NYC 🇺🇸,28,0,3,3
@meghanmarkle,@meghanmarkle,"<[2017-11-27T22:55:39.799Z, 2017-11-27T22:56:31.000Z, 2017-11-27T22:57:20.923Z]>",User,,,,,,,Tue Mar 29 23:10:35 IST 2011,en,actor. activist. lady. foodie. traveler of this beautiful world. founder of http://www.TheTig.com ❤️ @thetigofficial,,http://pbs.twimg.com/profile_images/733482347820154880/dDt4gn6S_bigger.jpg,872,418709,Meghan Markle,,28,4,1,5
https://twitter.com/TIME/status/935279591790383104,https://twitter.com/TIME/status/935279591790383104,"<[2017-11-27T22:55:39.799Z, 2017-11-27T22:55:42.217Z]>",Link,,,,,,,,,,,,,,,,28,2,0,2
935279591790383104,Prince Harry and Meghan Markle share their engagement story and how they first met https://t.co/r8iAGpUrVC,"<[2017-11-27T22:55:39.842Z, 2017-11-27T22:55:42.218Z, 2017-11-27T22:55:49.993Z, 2017-11-27T22:55:56.335Z, 2017-11-27T22:56:15.322Z, 2017-11-27T22:57:09.353Z, 2017-11-27T22:57:13.630Z]>",Tweet,,,,,,,Mon Nov 27 22:50:05 GMT 2017,en,,,,,,,,28,8,1,9
@time,@time,"<[2017-11-27T22:55:39.842Z, 2017-11-27T22:55:42.218Z, 2017-11-27T22:55:49.993Z, 2017-11-27T22:55:56.335Z, 2017-11-27T22:56:02.383Z, 2017-11-27T22:56:15.322Z, 2017-11-27T22:57:09.353Z, 2017-11-27T22:57:13.630Z, 2017-11-27T22:57:24.516Z]>",User,,,,,,,Thu Apr 03 14:54:30 IST 2008,en,Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.,,http://pbs.twimg.com/profile_images/1700796190/Picture_24_bigger.png,848,14973030,TIME,,28,9,3,12
http://ti.me/2Bul0qP,http://ti.me/2Bul0qP,"<[2017-11-27T22:55:39.842Z, 2017-11-27T22:55:42.218Z, 2017-11-27T22:55:49.993Z, 2017-11-27T22:55:56.335Z, 2017-11-27T22:56:15.322Z, 2017-11-27T22:57:09.353Z, 2017-11-27T22:57:13.630Z]>",Link,,,,,,,,,,,,,,,,28,4,0,4
935280989525422080,Kyle Sandilands denies Meghan Markle's black heritage https://t.co/zXqTlfOExV,<[2017-11-27T22:55:39.863Z]>,Tweet,,,,,,,Mon Nov 27 22:55:39 GMT 2017,en,,,,,,,,0,1,1,2
@gossip__newz,@gossip__newz,"<[2017-11-27T22:55:39.863Z, 2017-11-27T22:56:42.215Z, 2017-11-27T22:57:00.343Z]>",User,,,,,,,Mon Jul 31 16:28:41 IST 2017,en,The latest news of interest about #Gossip in one place!,,http://pbs.twimg.com/profile_images/892050788276678657/1erz7XWg_bigger.jpg,1853,5675,Gossip Newz,Global,0,0,3,3
https://goo.gl/oGiVPF,https://goo.gl/oGiVPF,<[2017-11-27T22:55:39.863Z]>,Link,,,,,,,,,,,,,,,,0,1,0,1
935280990142025728,RT @FrDesouche: Le racisme décomplexé d'un journaliste du Monde https://t.co/IdoBM4aCx3,<[2017-11-27T22:55:39.895Z]>,Tweet,,,,,,,Mon Nov 27 22:55:39 GMT 2017,fr,,,,,,,,125,1,1,2
@pascalhamm1,@pascalhamm1,<[2017-11-27T22:55:39.895Z]>,User,,,,,,,Sat Feb 25 08:34:35 GMT 2012,fr,"Ingénieur BTP en semaine , zicos le week-end , ex 2e REG , Français aimant mon pays , toujours prêt à défendre mes idées , si tu m’aimes pas c'est réciproque",,http://pbs.twimg.com/profile_images/931251186870743043/yhSk7Mp7_bigger.jpg,414,171,Pascal H.,France,125,0,5,5
https://twitter.com/canalbernard/status/935091970036371457,https://twitter.com/canalbernard/status/935091970036371457,"<[2017-11-27T22:55:39.895Z, 2017-11-27T22:55:39.896Z, 2017-11-27T22:56:49.003Z, 2017-11-27T22:56:49.004Z]>",Link,,,,,,,,,,,,,,,,125,3,0,3
935096572488179714,Le racisme décomplexé d'un journaliste du Monde https://t.co/IdoBM4aCx3,"<[2017-11-27T22:55:39.896Z, 2017-11-27T22:56:49.004Z]>",Tweet,,,,,,,Mon Nov 27 10:42:50 GMT 2017,fr,,,,,,,,125,3,1,4
@frdesouche,@frdesouche,"<[2017-11-27T22:55:39.896Z, 2017-11-27T22:56:49.004Z]>",User,,,,,,,Mon Oct 31 18:52:27 GMT 2011,fr,,,http://pbs.twimg.com/profile_images/852831961777229825/Ms96fuYC_bigger.jpg,2339,31029,Pierre Sautarel,Paris/Bourgogne,125,2,3,5
935091970036371457,"Enfin du sang neuf à Buckingham:née d'une mère noire américaine, divorcée, Meghan Markle va épouser le prince Harry https://t.co/bBSeWQ0U0A","<[2017-11-27T22:55:39.896Z, 2017-11-27T22:55:39.897Z, 2017-11-27T22:56:49.004Z]>",Tweet,,,,,,,Mon Nov 27 10:24:33 GMT 2017,fr,,,,,,,,125,4,1,5
@canalbernard,@canalbernard,"<[2017-11-27T22:55:39.896Z, 2017-11-27T22:55:39.897Z, 2017-11-27T22:56:49.004Z]>",User,,,,,,,Thu May 19 11:08:58 IST 2011,fr,- Correspondant du journal Le Monde au Royaume-Uni et en République d'Irlande - UK and Ireland correspondent with Le Monde,,http://pbs.twimg.com/profile_images/783957214788784128/bJ9MLkV0_bigger.jpg,996,4117,Philippe Bernard,Londres,125,3,1,4
http://dailym.ai/2i8udjM,http://dailym.ai/2i8udjM,"<[2017-11-27T22:55:39.896Z, 2017-11-27T22:55:39.897Z, 2017-11-27T22:56:49.004Z]>",Link,,,,,,,,,,,,,,,,125,1,0,1
935280990834102273,"RT @BarackObama: Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life… ",<[2017-11-27T22:55:39.900Z]>,Tweet,,,,,,,Mon Nov 27 22:55:39 GMT 2017,en,,,,,,,,1,1,0,1
@kpcp89,@kpcp89,<[2017-11-27T22:55:39.900Z]>,User,,,,,,,Sat Jun 04 00:48:32 IST 2016,en,Hello World,,http://pbs.twimg.com/profile_images/741821480871157760/NA_PCmR9_bigger.jpg,34,202,KPCP,United States,1,0,3,3
